	ID     Customer Name:
	Trait  Value               
	11111  BOB WIRE            
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	22222  MELBA TOAST         
	GENDER M                   
	BOOK   COOKING             
	33333  CRYSTAL BALL        
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	33355  TED E BARR          
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	33366  REED BOOK           
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	BOOK   TRAVEL              
	EXERCISE GOLF                
	11122  AVA KASHUN          
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	BOOK   TRAVEL              
	EXERCISE GOLF                
	                           
	                           
	                           
	                           
	                           
	111000 ROCK D BOAT         
	111010 JIMMY LOCK          
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	555111 SPRING WATER        
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	666666 E VILLE             
	GENDER M                   
	BOOK   COOKING             
	EXERCISE JOG                 
	EXERCISE HIKE                
	BOOK   TRAVEL              
Query # 1: SMOKING = N
	SMOKING N = 
	Query Result:
	ID      Customer Name       
	11111   BOB WIRE            
	33333   CRYSTAL BALL        
	11122   AVA KASHUN          
	555111  SPRING WATER        
Query # 2: SMOKING = N AND GENDER = F 
	SMOKING N = GENDER F = 
	AND 
	Query Result:
	ID      Customer Name       
	33333   CRYSTAL BALL        
	11122   AVA KASHUN          
	555111  SPRING WATER        
Query # 3: SMOKING = N AND ( EXERCISE = HIKE OR EXERCISE = BIKE )
	SMOKING N = EXERCISE HIKE = 
	EXERCISE BIKE = OR AND 
	Query Result:
	ID      Customer Name       
	11111   BOB WIRE            
	33333   CRYSTAL BALL        
	11122   AVA KASHUN          
	555111  SPRING WATER        
Query # 4: GENDER = F AND EXERCISE NOTANY YOGA
	GENDER F = EXERCISE YOGA NOTANY 
	AND 
	Query Result:
	ID      Customer Name       
	22222   MELBA TOAST         
	11122   AVA KASHUN          
	555111  SPRING WATER        
Query # 5: SMOKING = N AND EXERCISE = HIKE OR EXERCISE = BIKE
	SMOKING N = EXERCISE HIKE = 
	AND EXERCISE BIKE = OR 
	Query Result:
	ID      Customer Name       
	11111   BOB WIRE            
	22222   MELBA TOAST         
	33333   CRYSTAL BALL        
	33355   TED E BARR          
	33366   REED BOOK           
	11122   AVA KASHUN          
	111000  ROCK D BOAT         
	111010  JIMMY LOCK          
	555111  SPRING WATER        
	666666  E VILLE             
Query # 6: ( BOOK = SCIFI )
	BOOK SCIFI = 
	Query Result:
	ID      Customer Name       
	33366   REED BOOK           
Query # 7: BOOK = TRAVEL
	BOOK TRAVEL = 
	Query Result:
	ID      Customer Name       
	33366   REED BOOK           
	11122   AVA KASHUN          
	111010  JIMMY LOCK          
Query # 8: BOOK NOTANY TRAVEL
	BOOK TRAVEL NOTANY 
	Query Result:
	ID      Customer Name       
	11111   BOB WIRE            
	22222   MELBA TOAST         
	33333   CRYSTAL BALL        
	33355   TED E BARR          
	111000  ROCK D BOAT         
	555111  SPRING WATER        
	666666  E VILLE             
Query # 9: ( ( ( BOOK ONLY TRAVEL ) ) )
	BOOK TRAVEL ONLY 
	Query Result:
	ID      Customer Name       
	11122   AVA KASHUN          
	111010  JIMMY LOCK          
Query # 10: ( ( SMOKING = N )
	Warning: missing right parenthesis
Query # 11: ( ( SMOKING = N ) AND ( BOOK ONLY TRAVEL ) AND ( EXERCISE = HIKE ) )
	SMOKING N = BOOK TRAVEL ONLY 
	AND EXERCISE HIKE = AND 
	Query Result:
	ID      Customer Name       
	11122   AVA KASHUN          
Query # 12: ( GENDER = M ) AND EXERCISE = BIKE )
	Warning: missing left parenthesis

